 ,Area,Mean,Min,Max,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
20,1.159,83.997,28.978,132.244,5.080,0.283,7.171,1348,1348,5.080,0.000,0.000,0.000,NaN,7.171
21,1.008,85.819,41.333,173.000,-36.573,0.337,6.127,1056,1808,143.427,0.000,0.000,0.000,NaN,6.127
22,1.058,67.519,33.585,130.000,4.185,0.312,6.525,944,1459,4.185,0.000,0.000,0.000,NaN,6.525
23,1.184,56.061,14.701,133.327,-52.125,0.284,7.239,908,1521,127.875,8.882E-16,0.000,0.000,NaN,7.239
24,0.857,60.099,21.414,117.327,-12.339,0.398,5.199,1595,1961,167.661,0.000,0.000,0.000,NaN,5.199
25,1.209,59.722,13.681,119.574,-97.275,0.269,7.521,1523,1992,82.725,0.000,0.000,0.000,NaN,7.521
26,0.781,41.910,14.222,74.600,-41.009,0.419,4.838,1480,1955,138.991,4.441E-16,0.000,0.000,NaN,4.838
27,0.882,52.682,11.886,99.841,-69.444,0.377,5.425,1297,1948,110.556,0.000,0.000,0.000,NaN,5.425
28,1.159,86.797,38.400,141.351,-104.036,0.281,7.199,1340,1999,75.964,0.000,0.000,0.000,NaN,7.199
29,0.907,66.259,28.183,92.989,-113.629,0.371,5.544,1319,1901,66.371,0.000,0.000,0.000,NaN,5.544
30,0.957,25.148,9.963,45.266,-45.000,0.353,5.836,522,1063,135.000,0.000,0.000,0.000,NaN,5.836
31,0.857,31.318,10.091,64.000,-70.463,0.395,5.221,588,1033,109.537,0.000,0.000,0.000,NaN,5.221
32,1.033,34.753,15.910,56.930,-45.000,0.329,6.285,647,1025,135.000,0.000,0.000,0.000,NaN,6.285
33,0.957,30.858,16.137,58.309,-27.255,0.347,5.892,606,1096,152.745,0.000,0.000,0.000,NaN,5.892
34,1.260,18.753,1.122,73.000,-32.381,0.267,7.706,738,1123,147.619,4.441E-16,0.000,0.000,NaN,7.706
35,1.033,41.015,5.188,101.500,-29.745,0.317,6.399,736,960,150.255,0.000,0.000,0.000,NaN,6.399
