 ,Area,Mean,Min,Max,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
154,1.358,60.964,35.611,91.815,-72.181,0.436,6.258,859.000,1763.000,107.819,2.220E-16,0.000,0.000,NaN,6.258
155,1.313,63.989,20.061,153.000,-68.962,0.470,5.927,996.000,1677.000,111.038,0.000,0.000,0.000,NaN,5.927
156,1.947,54.376,17.490,97.871,-54.782,0.312,8.855,932.000,1671.000,125.218,8.882E-16,0.000,0.000,NaN,8.855
157,1.449,52.146,19.455,89.234,-59.349,0.408,6.678,843.000,1645.000,120.651,0.000,0.000,0.000,NaN,6.678
158,1.403,64.855,45.000,101.000,-57.381,0.442,6.315,998.000,1825.000,122.619,0.000,0.000,0.000,NaN,6.315
159,1.494,66.734,14.000,120.000,-34.695,0.415,6.728,860.000,1894.000,145.305,0.000,0.000,0.000,NaN,6.728
160,1.584,47.769,17.131,128.000,-64.179,0.371,7.327,1329.000,1552.000,115.821,0.000,0.000,0.000,NaN,7.327
161,1.313,29.004,1.918,74.000,-50.711,0.451,6.048,1400.000,1601.000,129.289,0.000,0.000,0.000,NaN,6.048
162,1.403,57.349,33.200,87.833,-136.332,0.421,6.471,1333.000,1693.000,43.668,4.441E-16,0.000,0.000,NaN,6.471
163,1.222,38.169,6.000,86.902,-49.635,0.492,5.585,1312.000,1745.000,130.365,0.000,0.000,0.000,NaN,5.585
164,2.218,68.407,26.050,106.000,-140.042,0.264,10.270,1190.000,1787.000,39.958,0.000,0.000,0.000,NaN,10.270
165,2.082,50.577,17.644,86.960,-60.573,0.288,9.527,1477.000,1822.000,119.427,8.882E-16,0.000,0.000,NaN,9.527
166,1.584,57.679,12.795,95.301,-112.751,0.389,7.152,1544.000,1831.000,67.249,0.000,0.000,0.000,NaN,7.152
167,1.494,62.126,29.906,127.000,-34.695,0.415,6.728,1117.000,1597.000,145.305,0.000,0.000,0.000,NaN,6.728
168,1.358,67.549,37.922,105.973,-35.311,0.436,6.258,1256.000,1625.000,144.689,0.000,0.000,0.000,NaN,6.258
169,1.630,61.417,34.691,119.000,-39.174,0.373,7.410,1227.000,1647.000,140.826,4.441E-16,0.000,0.000,NaN,7.410
