 ,Area,Mean,Min,Max,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
60,3.125,76.236,21.677,117.000,-30.324,0.427,9.594,828.000,1212.000,149.676,0.000,0.000,0.000,NaN,9.594
61,2.246,40.386,5.582,91.000,-35.538,0.625,6.721,629.000,1196.000,144.462,0.000,0.000,0.000,NaN,6.721
62,1.953,11.540,0.000,54.000,-18.435,0.698,5.929,703.000,1211.000,161.565,2.220E-16,0.000,0.000,NaN,5.929
63,2.148,13.182,0.000,35.875,-127.405,0.604,6.688,652.000,1322.000,52.595,0.000,0.000,0.000,NaN,6.688
64,2.539,24.300,4.000,104.000,-118.610,0.520,7.831,625.000,1305.000,61.390,0.000,0.000,0.000,NaN,7.831
65,2.637,46.832,14.136,75.862,-128.830,0.490,8.224,653.000,1386.000,51.170,0.000,0.000,0.000,NaN,8.224
66,2.148,28.401,6.213,66.750,-22.834,0.650,6.442,649.500,1115.500,157.166,0.000,0.000,0.000,NaN,6.442
67,2.051,17.093,5.100,95.000,22.068,0.662,6.238,642.500,1149.000,22.068,4.441E-16,0.000,0.000,NaN,6.238
68,2.734,15.927,3.358,48.000,-31.891,0.501,8.281,747.500,1407.000,148.109,4.441E-16,0.000,0.000,NaN,8.281
69,2.344,26.376,10.239,70.750,22.714,0.555,7.284,805.000,1383.500,22.714,0.000,0.000,0.000,NaN,7.284
70,2.832,6.847,0.000,44.500,16.798,0.476,8.650,859.500,1316.500,16.798,4.441E-16,0.000,0.000,NaN,8.650
71,2.441,14.415,4.000,73.000,-32.381,0.533,7.586,873.000,1267.000,147.619,0.000,0.000,0.000,NaN,7.586
72,2.051,12.138,4.900,28.500,-1.432,0.659,6.252,857.000,1371.000,178.568,0.000,0.000,0.000,NaN,6.252
73,1.465,24.613,5.500,59.939,-34.824,0.960,4.378,873.000,1398.000,145.176,0.000,0.000,0.000,NaN,4.378
74,1.367,7.454,3.615,19.000,-34.287,0.993,4.160,896.000,1424.500,145.713,0.000,0.000,0.000,NaN,4.160
75,1.465,21.230,12.050,41.819,-33.111,1.000,4.290,875.000,1446.500,146.889,0.000,0.000,0.000,NaN,4.290
76,2.051,36.566,5.300,86.500,-39.987,0.645,6.322,827.500,1474.500,140.013,0.000,0.000,0.000,NaN,6.322
77,2.051,37.246,6.920,91.000,-53.130,0.660,6.250,840.000,1522.000,126.870,0.000,0.000,0.000,NaN,6.250
78,2.344,20.845,7.992,45.146,-39.644,0.584,7.102,863.500,1506.000,140.356,4.441E-16,0.000,0.000,NaN,7.102
79,2.832,6.633,0.000,29.000,-65.298,0.481,8.599,915.500,1551.500,114.702,0.000,0.000,0.000,NaN,8.599
80,2.734,29.931,16.481,47.500,-33.690,0.481,8.451,930.000,1539.000,146.310,0.000,0.000,0.000,NaN,8.451
81,2.441,36.850,14.156,62.389,-36.384,0.564,7.375,727.500,1525.500,143.616,4.441E-16,0.000,0.000,NaN,7.375
82,2.148,38.769,15.480,75.000,-45.000,0.614,6.629,793.500,1570.000,135.000,0.000,0.000,0.000,NaN,6.629
83,1.758,20.482,7.789,49.500,-64.983,0.826,5.173,919.000,1391.500,115.017,0.000,0.000,0.000,NaN,5.173
84,2.637,60.055,28.262,177.500,-40.365,0.492,8.203,656.500,1423.000,139.635,0.000,0.000,0.000,NaN,8.203
85,2.148,40.916,8.293,96.609,-12.381,0.628,6.559,650.500,1467.000,167.619,0.000,0.000,0.000,NaN,6.559
86,3.320,34.180,11.365,131.000,-14.250,0.405,10.156,645.500,1531.500,165.750,0.000,0.000,0.000,NaN,10.156
87,1.758,46.068,12.500,87.588,5.042,0.777,5.333,752.500,1548.000,5.042,5.551E-17,0.000,0.000,NaN,5.333
88,2.148,34.279,13.653,81.000,-28.393,0.625,6.572,795.000,1635.000,151.607,0.000,0.000,0.000,NaN,6.572
89,1.758,26.253,7.100,44.000,17.354,0.805,5.238,695.500,1676.000,17.354,2.220E-16,0.000,0.000,NaN,5.238
90,2.246,45.570,19.905,109.000,-27.150,0.602,6.848,725.500,1640.000,152.850,0.000,0.000,0.000,NaN,6.848
91,2.832,30.885,7.560,113.000,-31.675,0.478,8.629,709.000,1606.000,148.325,0.000,0.000,0.000,NaN,8.629
92,1.855,45.663,11.000,107.500,-40.426,0.759,5.542,641.000,1569.500,139.574,0.000,0.000,0.000,NaN,5.542
93,2.148,38.074,13.107,86.000,-28.393,0.625,6.572,632.500,1619.000,151.607,0.000,0.000,0.000,NaN,6.572
94,2.246,26.005,0.393,137.000,-58.134,0.609,6.807,623.500,1542.000,121.866,0.000,0.000,0.000,NaN,6.807
95,2.246,88.653,30.273,163.500,-34.046,0.580,6.977,613.500,1559.000,145.954,0.000,0.000,0.000,NaN,6.977
96,1.660,25.454,5.375,97.000,-52.431,0.794,5.125,631.000,1428.500,127.569,4.441E-16,0.000,0.000,NaN,5.125
97,2.832,18.515,3.046,46.122,-43.531,0.479,8.621,659.500,1834.500,136.469,0.000,0.000,0.000,NaN,8.621
